Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,Cleaned_Review,Slang_Replaced,Stopwords_Removed,Stemming
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Positive,Happy,alhamdulillah berfungsi dengan baik packaging aman respon cepat dan ramah seller dan kurir amanah,alhamdulillah berfungsi dengan baik packaging aman respon cepat dan ramah seller dan kurir amanah,alhamdulillah berfungsi baik packaging aman respon cepat ramah seller kurir amanah,alhamdulillah fungsi baik packaging aman respon cepat ramah seller kurir amanah
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Kota Tangerang Selatan,72000,4.9,2359,1044,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Positive,Happy,barang bagus dan respon cepat harga bersaing dengan yg lain,barang bagus dan respon cepat harga bersaing dengan yang lain,barang bagus respon cepat harga bersaing,barang bagus respon cepat harga saing
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Jakarta Barat,213000,5.0,12300,3573,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Positive,Happy,barang bagus berfungsi dengan baik seler ramah pengiriman cepat,barang bagus berfungsi dengan baik seler ramah pengiriman cepat,barang bagus berfungsi baik seler ramah pengiriman cepat,barang bagus fungsi baik seler ramah kirim cepat
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,Positive,Happy,bagus sesuai harapan penjual nya juga ramah trimakasih pelapak,bagus sesuai harapan penjual nya juga ramah trimakasih pelapak,bagus sesuai harapan penjual nya ramah trimakasih pelapak,bagus sesuai harap jual nya ramah trimakasih lapak
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Positive,Happy,barang bagus pengemasan aman dapat berfungsi dengan baik,barang bagus pengemasan aman dapat berfungsi dengan baik,barang bagus pengemasan aman berfungsi baik,barang bagus emas aman fungsi baik
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"barang bagus, seller ramah..",Positive,Happy,barang bagus seller ramah,barang bagus seller ramah,barang bagus seller ramah,barang bagus seller ramah
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Jakarta Selatan,85000,4.9,1339,718,5,mantap paten joss,Positive,Happy,mantap paten joss,mantap paten joss,mantap paten joss,mantap paten joss
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5.0,1201,632,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",Positive,Happy,works fine respon seller cepat barang berfungsi dengan baik recommended,works fine respon seller cepat barang berfungsi dengan baik recommended,works fine respon seller cepat barang berfungsi baik recommended,works fine respon seller cepat barang fungsi baik recommended
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5.0,1201,632,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Positive,Happy,barang bagus segel utuh original berfungsi dengan bener seller respon nya ajib cepat amir uda gt kasi sarannya pas banget lg dengan kebutuhan mantab,barang bagus segel utuh original berfungsi dengan benar seller respon nya ajib cepat amir sudah begitu kasih sarannya pas banget lagi dengan kebutuhan mantab,barang bagus segel utuh original berfungsi benar seller respon nya ajib cepat amir kasih sarannya pas banget kebutuhan mantab,barang bagus segel utuh original fungsi benar seller respon nya ajib cepat amir kasih saran pas banget butuh mantab
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Positive,Happy,barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya,barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya,barang datang berfungsi baik terlihat bagus kali lampu birunya,barang datang fungsi baik lihat bagus kali lampu biru
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,"Pengiriman super cepat, barang bagus, recommended seller, thanks",Positive,Happy,pengiriman super cepat barang bagus recommended seller thanks,pengiriman super cepat barang bagus recommended seller thanks,pengiriman super cepat barang bagus recommended seller thanks,kirim super cepat barang bagus recommended seller thanks
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,882,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Positive,Happy,alhamdulillah barangnya udah nyampe  coba bagus semoga awet terima kasih seller kurir dan tokopedia,alhamdulillah barangnya sudah sampai coba bagus semoga awet terima kasih seller kurir dan tokopedia,alhamdulillah barangnya coba bagus semoga awet terima kasih seller kurir tokopedia,alhamdulillah barang coba bagus moga awet terima kasih seller kurir tokopedia
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Positive,Happy,penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih,penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih,penjual amanah responsif kabel berfungsi baik pengiriman cepat terima kasih,jual amanah responsif kabel fungsi baik kirim cepat terima kasih
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,970,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Positive,Happy,alhamdulillah barang sudah sampai bisa dipakai semoga berfungsi dengan baik dan awet kurirnya baik smoga rezekinya lancar terus,alhamdulillah barang sudah sampai bisa dipakai semoga berfungsi dengan baik dan awet kurirnya baik semoga rezekinya lancar terus,alhamdulillah barang dipakai semoga berfungsi baik awet kurirnya baik semoga rezekinya lancar terus,alhamdulillah barang pakai moga fungsi baik awet kurir baik moga rezeki lancar terus
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Positive,Happy,bagus berjalan baik dan cukup silent kokoh dan muat untuk laptop inch,bagus berjalan baik dan cukup silent kokoh dan muat untuk laptop inch,bagus berjalan baik cukup silent kokoh muat untuk laptop inch,bagus jalan baik cukup silent kokoh muat untuk laptop inch
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,Happy,packing aman pengiriman cepat dan barang berfungsi dengan baik,packing aman pengiriman cepat dan barang berfungsi dengan baik,packing aman pengiriman cepat barang berfungsi baik,packing aman kirim cepat barang fungsi baik
